,frac_counts_total_foursu_rep_1,frac_counts_total_foursu_rep_2,frac_counts_total_foursu_rep_3,frac_counts_total_total_rep_1,frac_counts_total_total_rep_2,frac_counts_total_total_rep_3,percent_counts_total_foursu_rep_1,percent_counts_total_foursu_rep_2,percent_counts_total_foursu_rep_3,percent_counts_total_total_rep_1,percent_counts_total_total_rep_2,percent_counts_total_total_rep_3
0,5.565679635698285e-05,0.00012928120287770313,0.00010007334225118742,0.0001917038355952857,0.00030788993572567505,0.0003569414815497212,0.005565679635698285,0.012928120287770314,0.010007334225118743,0.01917038355952857,0.030788993572567504,0.03569414815497212
1,0.0,0.0,2.0229577620917736e-07,0.0,0.0,1.0962479914118462e-06,0.0,0.0,2.0229577620917736e-05,0.0,0.0,0.00010962479914118462
2,1.5350506543740418e-05,1.680999970097376e-05,1.6283025958225274e-05,4.257709569949076e-05,6.901328591605794e-05,5.6455414908486306e-05,0.0015350506543740418,0.0016809999700973762,0.0016283025958225275,0.004257709569949076,0.006901328591605795,0.00564554149084863
3,0.00014111062469714697,0.00019221260349473862,0.00014806672820662234,0.00048407745186108454,0.00048658305962366095,0.0005949289713479708,0.014111062469714697,0.019221260349473863,0.014806672820662234,0.04840774518610846,0.048658305962366095,0.05949289713479708
4,0.00019990200266948942,0.00027265573530067805,0.00020315711003279476,0.0006351276801026122,0.0005781096870375207,0.0006275171889755501,0.019990200266948942,0.027265573530067803,0.020315711003279474,0.06351276801026122,0.05781096870375207,0.06275171889755501
5,0.006704547663846394,0.011866419593797185,0.00904721353510473,0.019214578865466916,0.030588109353790707,0.02858869152449228,0.6704547663846394,1.1866419593797184,0.904721353510473,1.9214578865466916,3.058810935379071,2.858869152449228
6,2.042999386840608e-06,3.7464273166802583e-06,3.2195391330472376e-06,1.179540145482218e-05,6.8658442474053515e-06,9.232087208623499e-06,0.0002042999386840608,0.0003746427316680258,0.00032195391330472377,0.001179540145482218,0.0006865844247405351,0.0009232087208623499
7,3.875130801724421e-08,0.0,0.0,7.753571452782083e-08,1.6669397234220541e-07,1.6132351334799825e-07,3.8751308017244205e-06,0.0,0.0,7.753571452782084e-06,1.6669397234220543e-05,1.6132351334799826e-05
8,0.00010695624780891285,0.00019001184145162948,0.00010637491196870117,0.0003518701009700325,0.00039053213245902565,0.0004031679691013316,0.010695624780891285,0.01900118414516295,0.010637491196870116,0.03518701009700325,0.039053213245902565,0.04031679691013316
9,5.954189504137264e-05,6.419173751415204e-05,7.27303911975629e-05,0.00021763686957915838,0.00039701473890969916,0.0002326672403317365,0.0059541895041372635,0.006419173751415204,0.00727303911975629,0.021763686957915838,0.03970147389096992,0.02326672403317365
10,7.574321037362714e-05,0.0001718001384404178,0.0001332929052462318,0.00023295667463260278,0.00039212325815311865,0.0005448905648651805,0.007574321037362714,0.01718001384404178,0.01332929052462318,0.023295667463260276,0.039212325815311866,0.05448905648651805
11,3.359333617785186e-05,7.807709208589188e-05,6.251443658257358e-05,0.00013007132826935053,0.00020335543135893726,0.00021454529118208546,0.0033593336177851862,0.007807709208589188,0.006251443658257358,0.013007132826935053,0.020335543135893728,0.021454529118208547
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4.9248632966795795e-06,9.70529055262151e-06,1.0020414782937193e-05,1.880396577293358e-05,1.6959074696247737e-05,2.3891795180297505e-05,0.000492486329667958,0.0009705290552621509,0.0010020414782937193,0.001880396577293358,0.0016959074696247737,0.0023891795180297506
15,3.8470939617032905e-05,3.4468242316034435e-05,2.6229255403631464e-05,2.9411004656640274e-05,6.291506526481283e-05,6.253636177971548e-05,0.0038470939617032906,0.0034468242316034433,0.0026229255403631465,0.0029411004656640276,0.006291506526481283,0.006253636177971548
16,0.0,1.1898848687926755e-09,1.9099462769670376e-07,0.0,0.0,0.0,0.0,1.1898848687926755e-07,1.9099462769670377e-05,0.0,0.0,0.0
17,2.1904132207386502e-08,1.698386339904817e-07,0.0,0.0,1.4308761939537268e-07,1.1958786012748491e-06,2.1904132207386503e-06,1.698386339904817e-05,0.0,0.0,1.4308761939537267e-05,0.00011958786012748491
18,0.0,5.6448366918076745e-08,2.3116603837833253e-07,0.0,0.0,0.0,0.0,5.644836691807675e-06,2.3116603837833254e-05,0.0,0.0,0.0
19,8.931694145470061e-07,2.765632033044741e-06,5.738144615492605e-06,7.858573821318515e-06,6.132680248075745e-06,9.434166453987009e-06,8.931694145470061e-05,0.00027656320330447413,0.0005738144615492605,0.0007858573821318515,0.0006132680248075745,0.0009434166453987009
20,3.7075167915368716e-06,3.735779350875045e-06,2.5302269790384003e-06,5.343858302417706e-06,8.501699022897067e-06,7.514994856254049e-06,0.0003707516791536872,0.0003735779350875045,0.00025302269790384,0.0005343858302417706,0.0008501699022897067,0.0007514994856254049
21,0.0001820439245932465,0.00031147101577767166,0.0002511481227478375,0.00042116344006399296,0.0008367457111905989,0.0008390521303629093,0.01820439245932465,0.031147101577767167,0.025114812274783748,0.0421163440063993,0.08367457111905989,0.08390521303629093
22,1.5939379992737936e-05,3.1503382763531977e-05,2.9650511538757973e-05,5.9704314030106365e-05,8.410320797036653e-05,8.963642546958518e-05,0.0015939379992737936,0.0031503382763531976,0.0029650511538757973,0.005970431403010636,0.008410320797036653,0.008963642546958518
